wellids,mni_x,mni_y,mni_z
381,-41.6,19.2,-20.3
382,-63.7,-37.2,37.8
383,-59.3,-36.9,46.1
384,-67,-40.9,27.5
385,-9.6,63.7,-14.8
386,-9.7,63.8,-12.5
387,-8.5,63.8,-12.5
388,-15.3,63.9,-6.6
389,-8.5,63.7,-14.8
390,-37.9,-23.5,10.7
391,-45.8,-12.8,5
392,-28,5.4,-15.5
393,-33.8,6.1,10.4
394,-35.8,-15.7,13.5
395,-32.4,-23.1,17.7
396,-42.4,-14.1,-2
397,-58,-46,3
398,-60,-36,1
399,-58,-36,4
400,-63,-46,13
401,-3,17,24
402,-5,28,17
403,-4,28,17
404,-3,5,25
405,-8,5,34
406,-2,5,25
407,-7,5,34
408,-47,17,52
409,-25,17,49
410,-38,4,54
411,-21,-68,21
412,-22,-68,20
413,-16,-9,-32
414,-15,-9,-31
415,-29,-20,-35
416,-46,-36,-33
417,-49,-56,-12
418,-50,-71,-13
419,-52,-71,-11
420,-51,-56,-14
421,-32,-36,-14
422,-37,-20,-23
423,-40,-46,-5
424,-56,-47,29
425,-55,-57,12
426,-36,-56,51
427,-54,-70,27
428,-55,-57,29
429,-52,-70,24
430,-47,-70,24
431,-55,-47,29
432,-61,-46,-19
433,-52,-46,-17
434,-47,-19,-34
435,-53,-19,-26
436,-61,-71,-1
437,-54,-36,-27
438,-50,-19,-34
439,-58,-57,-1
440,-56,-57,0
441,-54,-46,-30
442,-63,-36,-20
443,-52,-56,-10
444,-61,-71,-3
445,-2,-55,18
446,-9,-46,10
447,-18,-35,-3
448,-11,32,-24
449,-24,16,-26
450,-9,32,-28
451,-26,47,-16
452,-22,47,-17
453,-34,-56,-9
454,-32,-56,-6
455,-9,-69,-1
456,-19,-69,6
457,-31,-56,-6
458,-26,-55,9
459,-26,-45,-2
460,-25,-45,-4
461,-24,-55,8
462,-5,47,-29
463,-5,31,-22
464,-7,30,-17
465,-8,32,-25
466,-6,47,-27
467,-5,46,-18
468,-4,46,-18
469,-10,32,-24
470,-4,47,-29
471,-58,-19,-19
472,-46,16,-40
473,-49,3,-36
474,-54,3,-30
475,-61,-36,-14
476,-45,16,-40
477,-37,-35,-9
478,-26,-20,-33
479,-35,-20,-24
480,-5,-20,72
481,0,-34,52
482,-41,47,-17
483,-50,33,-10
484,-40,47,-4
485,-55,32,10
486,-18,-68,14
487,-68,-8,23
488,-20,-46,68
489,-65,-8,41
490,-61,-8,38
491,-68,-8,20
492,-38,-35,68
493,-55,-20,59
494,-54,-20,59
495,-3,-46,37
496,-17,-34,44
497,-2,-9,29
498,-2,-9,25
499,-12,-9,32
500,-11,-9,32
501,-13,-20,73
502,-42,-20,55
503,-63,3,10
504,-38,-9,70
505,-59,5,42
506,-42,-20,51
507,-34,-20,66
508,-43,3,10
509,-45,3,8
510,-45,5,31
511,-6,-46,50
512,-10,-46,59
513,-5,-55,36
514,-6,-55,49
515,-15,-55,17
516,-9,-68,32
517,-11,-68,30
518,-6,-68,59
519,-11,-55,34
520,-14,-55,17
521,-2,-46,37
522,-4,16,-9
523,-5,45,-1
524,-3,16,-5
525,-37,47,-4
526,-42,45,40
527,-50,30,37
528,-41,29,52
529,-41,45,40
530,-48,46,13
531,-29,-9,59
532,-4,17,43
533,-25,44,51
534,-3,4,61
535,-24,44,51
536,-3,28,35
537,-4,28,47
538,-5,44,54
539,-26,17,59
540,-23,29,46
541,-3,28,47
542,-31,-47,45
543,-44,-47,48
544,-32,-35,39
545,-32,-69,55
546,-29,-69,56
547,-29,-55,65
548,-32,-47,47
549,-25,-46,52
550,-40,-35,50
551,-22,-69,63
552,-9,-55,66
553,-69,-36,9
554,-59,-8,5
555,-67,-8,4
556,-65,-8,-16
557,-47,3,-14
558,-63,3,-7
559,-32,16,-27
560,-63,-35,22
561,-61,-19,-7
562,-64,-8,-16
563,-62,-19,-12
564,-46,3,-17
565,-46,-35,43
566,-59,-47,28
567,-57,-19,13
568,-28,16,-43
569,-41,-19,8
570,-43,-8,13
571,-41,-9,5
572,-43,-8,20
573,-44,3,3
574,-41,-19,3
575,-62,-60,24
576,-56,-59,14
577,-67,-48,4
578,-3,25,26
579,-3,25,28
580,-2,25,28
581,-5,14,31
582,-7,15,39
583,-30,5,56
584,-36,15,37
585,-35,15,37
586,-51,16,33
587,-3,-80,10
588,-1,-93,-7
589,-2,-92,4
590,-4,-93,7
591,-5,-80,8
592,-3,-80,22
593,-17,4,-34
594,-13,-7,-26
595,-27,-7,-42
596,-26,-7,-36
597,-14,-7,-29
598,-24,4,-42
599,-26,4,-45
600,-35,-7,-39
601,-36,-69,-7
602,-29,-38,-19
603,-28,-7,-42
604,-51,-59,-24
605,-35,-59,-5
606,-48,-47,-14
607,-48,-38,-22
608,-41,-26,-17
609,-40,-18,-26
610,-30,-7,-38
611,-28,-7,-47
612,-51,-69,-21
613,-33,-18,-36
614,-30,-47,-8
615,-30,-47,-13
616,-41,-70,52
617,-21,-91,30
618,-42,-70,10
619,-57,-70,19
620,-30,-81,44
621,-22,-91,13
622,-59,-59,1
623,-53,-38,-25
624,-69,-38,-18
625,-46,-26,-24
626,-60,-26,-28
627,-59,-26,-37
628,-43,-7,-47
629,-41,5,-41
630,-59,-59,-24
631,-44,-18,-26
632,-39,-7,-40
633,-64,-48,-25
634,-51,-47,-16
635,-57,-38,-32
636,-60,-38,-24
637,-50,5,-44
638,-38,-7,-40
639,-2,-47,33
640,-3,-58,12
641,-3,-47,20
642,-6,-38,25
643,-17,-47,1
644,-29,-82,-17
645,-62,-70,-11
646,-50,-83,10
647,-32,-91,6
648,-35,-92,9
649,-21,-99,6
650,-17,-99,-3
651,-6,-99,-17
652,-45,-83,20
653,-28,-99,-7
654,-7,-99,-2
655,-7,-99,2
656,-21,23,-28
657,-25,23,-17
658,-8,33,-28
659,-34,34,-15
660,-16,53,-24
661,-16,46,-22
662,-22,33,-23
663,-7,-67,1
664,-6,-67,3
665,-17,-67,-2
666,-8,-80,-15
667,-19,-59,3
668,-15,-80,-16
669,-3,-93,-19
670,-11,-59,-3
671,-15,-80,-18
672,-22,-59,2
673,-5,33,-28
674,-6,33,-17
675,-6,46,-28
676,-5,53,-30
677,-2,53,-29
678,-1,53,-29
679,1,23,-27
680,-5,46,-17
681,-7,46,-13
682,-3,46,-28
683,-66,-48,-4
684,-63,-26,-27
685,-65,-18,-32
686,-63,-18,-25
687,-54,-6,-37
688,-65,-48,-6
689,-64,-38,0
690,-61,-18,-20
691,-43,5,-31
692,-60,-59,4
693,-63,-38,-3
694,-52,13,-35
695,-35,-26,-21
696,-21,-18,-25
697,-28,-38,-9
698,-14,-38,-3
699,-30,-38,-13
700,-7,-18,50
701,-9,-26,46
702,-3,-26,71
703,-56,16,-5
704,-46,6,0
705,-59,26,15
706,-32,47,-22
707,-42,47,-17
708,-29,53,-19
709,-31,47,-22
710,-34,54,-18
711,-33,54,-18
712,-43,47,-12
713,-41,23,-12
714,-36,34,-13
715,-35,34,-13
716,-52,34,-9
717,-50,-18,52
718,-49,-18,52
719,-64,-18,41
720,-68,-6,28
721,-21,-38,73
722,-46,-38,60
723,-52,-27,62
724,-59,-6,24
725,-72,-26,27
726,-68,-26,38
727,-7,-18,46
728,-5,-38,35
729,-8,3,38
730,-6,-18,30
731,-4,-26,35
732,-4,-26,32
733,-8,-26,43
734,-9,-6,46
735,-4,3,32
736,-4,-6,33
737,-43,-17,67
738,-61,-6,40
739,-8,-17,74
740,-50,-6,30
741,-43,-6,61
742,-62,6,1
743,-46,-17,54
744,-30,-17,77
745,-27,-5,54
746,-67,-6,10
747,-65,6,19
748,-49,-6,30
749,-13,-47,61
750,-3,-68,58
751,-6,-81,55
752,-9,-58,48
753,-2,-38,52
754,-22,-67,16
755,-8,-47,45
756,-3,-80,48
757,-8,-58,48
758,-5,24,-6
759,-3,55,6
760,-3,14,-7
761,-6,34,-4
762,-44,48,3
763,-20,56,27
764,-57,25,26
765,-50,35,15
766,-23,48,29
767,-23,48,32
768,-23,56,23
769,-32,55,9
770,-19,56,27
771,-29,26,47
772,-28,27,54
773,-12,36,54
774,-5,-5,73
775,-29,15,66
776,-11,15,71
777,-3,26,44
778,-1,4,55
779,-5,27,62
780,-13,36,55
781,-3,35,35
782,-40,-48,52
783,-41,-48,55
784,-20,-69,36
785,-21,-47,74
786,-17,-68,46
787,-17,-58,68
788,-40,-59,43
789,-19,-81,49
790,-22,-80,18
791,-17,-81,51
792,-17,-91,10
793,-14,-99,16
794,-5,-99,10
795,-53,-6,-3
796,-51,-6,-10
797,-58,5,-8
798,-60,5,-6
799,-59,5,-6
800,-57,5,-23
801,-53,14,-11
802,-68,-49,33
803,-61,-38,12
804,-73,-38,14
805,-56,-26,-6
806,-66,5,-10
807,-69,-26,-10
808,-66,-6,-13
809,-68,-26,9
810,-74,-26,6
811,-49,-19,-3
812,-61,-19,-1
813,-57,-60,28
814,-58,-61,41
815,-43,-60,41
816,-50,-49,33
817,-70,-38,32
818,-44,-48,53
819,-53,-49,30
820,-51,-38,39
821,-66,-26,14
822,-43,-48,53
823,-25,13,-37
824,-23,13,-37
825,-30,13,-39
826,-54,-26,16
827,-40,-6,9
828,-31,4,-19
829,-1,14,-11
830,-41,14,-7
831,-42,-6,-11
832,-41,5,-17
833,-42,-19,-4
834,-58,-55,23
835,-64,-43,20
836,-58,-55,17
837,-4,20,20
838,-4,11,23
839,-3,11,28
840,-8,20,29
841,-6,35,22
842,-3,0,26
843,-23,21,50
844,-23,1,56
845,-52,13,44
846,-30,13,52
847,-7,-86,10
848,-3,-94,9
849,-7,-75,9
850,-7,-94,22
851,-6,-86,10
852,-36,-15,-32
853,-24,-2,-35
854,-34,-2,-38
855,-50,-66,-14
856,-41,-64,-8
857,-39,-41,-18
858,-48,-42,-20
859,-45,-28,-20
860,-52,-55,-16
861,-44,-29,-34
862,-40,-42,-23
863,-45,-78,-11
864,-38,-77,-11
865,-51,-55,-18
866,-42,-55,-12
867,-54,-55,-19
868,-54,-29,-29
869,-39,-41,-14
870,-35,-65,41
871,-33,-76,28
872,-43,-66,49
873,-32,-51,48
874,-37,-77,28
875,-44,-66,15
876,-66,-43,-8
877,-65,-43,-22
878,-43,-2,-45
879,-59,-67,-16
880,-61,-55,-14
881,-52,-67,-12
882,-60,-55,-14
883,-42,-15,-33
884,-50,-15,-39
885,-50,-15,-37
886,-62,-31,-17
887,-56,-30,-28
888,-52,-42,-18
889,-45,-2,-39
890,-18,-53,-2
891,-16,-53,-2
892,-10,-52,34
893,-23,-53,2
894,-6,-36,23
895,-22,-53,2
896,-50,-80,21
897,-53,-79,-7
898,-53,-79,3
899,-24,-94,22
900,-26,-94,-16
901,-28,-94,-13
902,-36,-94,-4
903,-48,-85,-5
904,-21,18,-26
905,-17,18,-28
906,-27,48,-16
907,-24,48,-17
908,-13,59,-28
909,-37,39,-14
910,-9,-86,-20
911,-22,-85,-16
912,-19,-75,0
913,-26,-54,-8
914,-24,-54,-9
915,-22,-63,-5
916,-30,-63,2
917,-4,60,-14
918,-10,37,-29
919,-10,36,-24
920,-6,47,-11
921,-5,47,-11
922,-8,60,-4
923,-4,36,-25
924,-25,5,-19
925,-8,48,-25
926,-9,36,-24
927,-63,-3,-17
928,-59,-15,-20
929,-64,-31,-13
930,-70,-44,5
931,-66,-44,-2
932,-54,9,-31
933,-51,17,-27
934,-56,-16,-9
935,-53,9,-31
936,-26,-28,-24
937,-28,-28,-27
938,-40,-28,-22
939,-37,-16,-29
940,-24,-15,-35
941,-9,-27,40
942,-15,-37,49
943,-2,-13,69
944,-4,-25,72
945,-54,10,-5
946,-58,11,9
947,-49,20,30
948,-54,18,13
949,-45,11,0
950,-43,18,0
951,-40,39,-14
952,-51,39,-14
953,-35,48,-13
954,-34,48,-13
955,-40,39,-16
956,-43,48,-9
957,-56,38,1
958,-45,48,-4
959,-7,-85,-1
960,-10,-75,2
961,-6,-94,5
962,-15,-75,10
963,-21,-63,-4
964,-47,-27,50
965,-58,-14,48
966,-44,-14,64
967,-14,-37,71
968,-39,-26,54
969,-39,-27,70
970,-2,1,44
971,-2,-27,24
972,-9,-27,36
973,-8,-13,44
974,-29,-13,68
975,-42,0,54
976,-38,-14,58
977,-10,-26,83
978,-49,0,55
979,-60,-2,11
980,-47,-1,7
981,-65,-1,26
982,-2,-75,50
983,-6,-64,60
984,-19,-62,9
985,-5,-62,19
986,-9,-52,46
987,-4,-36,45
988,-3,-75,41
989,-18,-76,39
990,-22,-63,-3
991,-8,-52,52
992,-5,-52,68
993,-6,48,-5
994,-37,59,-8
995,-38,37,35
996,-36,50,25
997,-23,49,38
998,-24,59,-15
999,-35,37,46
1000,-34,49,35
1001,-35,60,12
1002,-21,61,30
1003,-26,60,16
1004,-19,1,54
1005,-1,2,70
1006,-19,13,68
1007,-3,21,63
1008,-5,48,32
1009,-8,49,36
1010,-4,60,21
1011,-4,36,29
1012,-1,13,70
1013,-4,48,32
1014,0,-13,55
1015,0,13,70
1016,-2,21,63
1017,-26,21,58
1018,-20,37,41
1019,-7,37,59
1020,-7,49,36
1021,-31,-76,49
1022,-24,-65,32
1023,-23,-86,19
1024,-21,-75,51
1025,-33,-39,67
1026,-17,-86,37
1027,-12,-64,68
1028,-31,-51,62
1029,-31,-52,71
1030,-52,17,-13
1031,-66,-16,12
1032,-57,-3,-14
1033,-47,17,-26
1034,-59,-30,3
1035,-69,-41,27
1036,-45,-16,-3
1037,-66,-2,11
1038,-43,8,-18
1039,-61,17,-8
1040,-67,-16,21
1041,-57,-28,14
1042,-65,9,5
1043,-60,17,-8
1044,-68,-28,30
1045,-58,-28,45
1046,-54,-55,36
1047,-61,-40,36
1048,-63,-40,46
1049,-50,-16,6
1050,-42,-1,0
1051,-34,10,5
1052,-43,-28,16
1053,-44,-15,5
1054,-34,10,3
1055,-36,18,2
1056,-51,-42,7
1057,-56,-26,-10
1058,-57,-26,3
1059,-3,19,30
1060,-6,5,42
1061,-2,26,25
1062,-1,26,25
1063,-34,-2,64
1064,-38,5,65
1065,-42,20,52
1066,-28,-2,63
